1001,450.25,1500.00,1049.75,online_transfer,mobile,shopping,0,14,0,0
1002,980.00,2000.00,1020.00,upi,desktop,food,0,19,0,0
1003,1200.00,8000.00,6800.00,card_swipe,mobile,electronics,0,11,0,0
1004,50.00,400.00,350.00,upi,mobile,food,0,9,0,0
1005,3200.00,3400.00,200.00,online_transfer,desktop,travel,1,3,1,1
1006,7800.00,8000.00,200.00,wire_transfer,desktop,services,1,2,1,1
1007,99.00,1000.00,901.00,upi,mobile,food,0,13,0,0
1008,650.50,700.00,49.50,card_swipe,mobile,shopping,0,15,0,0
1009,4000.00,4050.00,50.00,online_transfer,desktop,electronics,1,1,1,1
1010,39.99,1200.00,1160.01,upi,mobile,food,0,20,0,0
1011,250.00,5000.00,4750.00,card_swipe,desktop,shopping,0,10,0,0
1012,12500.00,13000.00,500.00,wire_transfer,desktop,services,1,4,1,1
1013,80.00,900.00,820.00,upi,mobile,food,0,18,0,0
1014,1600.00,1800.00,200.00,online_transfer,desktop,gaming,0,22,1,1
1015,500.00,2000.00,1500.00,card_swipe,mobile,fashion,0,12,0,0
1016,2200.00,2400.00,200.00,online_transfer,mobile,travel,1,5,1,1
1017,75.00,800.00,725.00,upi,mobile,food,0,14,0,0
1018,300.00,900.00,600.00,card_swipe,desktop,fashion,0,17,0,0
1019,9500.00,10000.00,500.00,wire_transfer,desktop,services,1,23,1,1
1020,110.00,450.00,340.00,upi,mobile,food,0,16,0,0
1021,1800.00,2000.00,200.00,online_transfer,mobile,electronics,1,6,1,1
1022,40.00,300.00,260.00,upi,mobile,food,0,8,0,0
1023,975.00,5000.00,4025.00,card_swipe,desktop,shopping,0,15,0,0
1024,4300.00,4500.00,200.00,online_transfer,desktop,travel,1,0,1,1
1025,250.00,700.00,450.00,upi,mobile,food,0,10,0,0
1026,6800.00,7000.00,200.00,wire_transfer,desktop,services,1,2,1,1
1027,55.00,850.00,795.00,upi,mobile,food,0,13,0,0
1028,1450.00,1600.00,150.00,online_transfer,desktop,gaming,0,21,1,1
1029,230.00,900.00,670.00,card_swipe,mobile,fashion,0,11,0,0
1030,710.00,1300.00,590.00,card_swipe,mobile,shopping,0,14,0,0
1031,3400.00,3600.00,200.00,online_transfer,desktop,travel,1,3,1,1
1032,60.00,700.00,640.00,upi,mobile,food,0,9,0,0
1033,875.00,5000.00,4125.00,card_swipe,desktop,shopping,0,15,0,0
1034,9900.00,10000.00,100.00,wire_transfer,desktop,services,1,1,1,1
1035,140.00,500.00,360.00,upi,mobile,food,0,18,0,0
1036,2800.00,3000.00,200.00,online_transfer,desktop,electronics,1,5,1,1
1037,100.00,850.00,750.00,card_swipe,mobile,food,0,12,0,0
1038,450.00,900.00,450.00,upi,mobile,shopping,0,17,0,0
1039,7200.00,7400.00,200.00,wire_transfer,desktop,services,1,23,1,1
1040,35.00,200.00,165.00,upi,mobile,food,0,8,0,0
1041,400.00,2500.00,2100.00,card_swipe,desktop,fashion,0,16,0,0
1042,320.00,1100.00,780.00,card_swipe,mobile,shopping,0,13,0,0
1043,5100.00,5300.00,200.00,online_transfer,desktop,travel,1,0,1,1
1044,125.00,450.00,325.00,upi,mobile,food,0,10,0,0
1045,950.00,4500.00,3550.00,card_swipe,desktop,shopping,0,14,0,0
1046,8750.00,9000.00,250.00,wire_transfer,desktop,services,1,2,1,1
1047,160.00,600.00,440.00,upi,mobile,food,0,19,0,0
1048,2400.00,2600.00,200.00,online_transfer,mobile,electronics,1,6,1,1
1049,85.00,780.00,695.00,upi,mobile,food,0,11,0,0
1050,420.00,1000.00,580.00,card_swipe,desktop,shopping,0,15,0,0
